brand,channel,sku,product,cm_source,months_active,last_sale_month,net_sales_l3m,net_sales_p3m,net_sales_l6m,cm1_l6m,cm2_l6m,cm3_l6m,ad_spend_l6m,cm3_p6m,net_sales_p6m,net_sales_ttm,cm3_ttm,net_sales_l2m,neg_cm3_months,cm_months_l6m,cm3_pct_l6m,cm3_pct_p6m,cm1_pct_l6m,cm2_pct_l6m,cm3_improving_pp,sales_trend_pct,launch_month,censored,source,age_months,vol_tier,margin_tier,cluster,cm3_target,verdict,reasons,review_month,country_verdicts,n_markets,n_markets_action,manual
Jasnum,Amazon,5904569253554,"Jasnum All-in-One | Integratore Menopausa Completo | Con Salvia, Foglie di Olivo, Enotera e Trifoglio Rosso | Vitamine D3, K2, B6 e B9 | 120 Capsule Vegane – Scorta per 2 Mesi",actual,5,2026-06,2978.12,2121.38,5099.5,2400.32,1519.1,-2417.35,-3936.48,,,5099.5,-2417.35,1974.73,4,5,-47.403667026179036,,47.06971271693304,29.789195019119518,,40.38597516710819,2026-02,False,first-sale proxy,4.0,3,3,3-3,18.030858935974116,Incubate,launched 2026-02 (4m ago),2026-06,DE:No data|IT:Incubate,2,0,False
Jasnum,Amazon,5904569253561,"Jasnum Mood | Integratore Menopausa per il Benessere Emotivo | Con Zafferano, Vitamine B6 e B12 | Favorisce l'Umore, il Relax e Aiuta a Combattere la Stanchezza | 30 Capsule",actual,6,2026-06,1012.9599999999999,926.47,1939.43,911.68,563.55,-2287.4,-2850.9500000000003,,,1939.43,-2287.4,736.3299999999999,5,6,-117.94186951836365,,47.00762595195495,29.057506586986896,,9.33543449868856,2026-01,False,first-sale proxy,5.0,3,3,3-3,18.02891301258617,Incubate,launched 2026-01 (5m ago),2026-06,DE:No data|IT:Incubate,2,0,False
Jasnum,Amazon,5904569253578,"Jasnum Line | Integratore Metabolismo Menopausa | Maca Nera, L-Carnitina & Tè Verde | Zinco, Cromo, Vitamine B6 & B12 | 120 Capsule Vegane – 2 Mesi di Scorta",actual,5,2026-06,948.01,1150.1,2098.11,999.42,627.54,-2540.24,-3167.7799999999997,,,2098.11,-2540.24,424.41,5,5,-121.0727750213287,,47.634299440925396,29.909775941204224,,-17.571515520389525,2026-02,False,first-sale proxy,4.0,3,3,3-3,18.04855421307748,Incubate,launched 2026-02 (4m ago),2026-06,DE:No data|IT:Incubate,2,0,False
Jasnum,Amazon,VV-VITA-294,"Vegavero BIOLOGISCH artisjokextract + BIOLOGISCH zwarte radijs | Uittreksels uit Frankrijk | 2,5% cynarine uit artisjok | Laboratoriumgetest | Vegan",actual,17,2025-11,,0.0,0.0,0.0,0.0,0.0,0.0,171.84,1413.7,1413.7,171.84,,0,1,,12.15533705878192,,,,,2024-07,True,first-sale proxy,23.0,3,,,23.881413642215456,No data,no margin data for this market,2026-06,DE:No data|GB:No data,2,0,False
Vegavero,Amazon,2R-49NC-R697,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,12,2026-06,197434.97,229343.23,426778.2,223107.82,66196.71,35091.19,-31105.46,52708.36,444121.59,870899.79,87799.55,135403.25,3,6,8.222348283019143,11.868002183816373,52.27722971791905,15.510799286374047,-3.64565390079723,-13.912885067503414,2024-07,True,first-sale proxy,23.0,1,3,3-1,21.233774414856118,Fix,CM3% 8.2 vs target 21.2,2026-06,BE:Defend|DE:Fix|ES:Watch|FR:Defend|GB:Watch|IE:Defend|IT:Scale|NL:Defend,8,1,False
Vegavero,Amazon,Amazon.Found.B07ZQHMLQY,ASHWAGANDHA BIO Pura Vegavero® | 670 mg per capsula | con il 2% di Withanolidi | SENZA ADDITIVI | Polvere di Withania Somnifera | Premium Organic Ashwaganda | 180 capsule | Vegan,actual,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,6,,,,,,,2024-12,False,first-sale proxy,18.0,3,,,16.555600000000002,No data,fewer than 3 months with sales,2026-06,IT:No data,1,0,False
Vegavero,Amazon,BJ-E223-8EKW,"BIO Moringa Oleifera Vegavero | Dosis Alta: 1800 mg | 270 Cápsulas | SUPERFOOD: Proteínas, Vitaminas, Minerales y Omega 3 | Antioxidante | Sin Aditivos | Vegana | Superalimentos",actual,12,2026-06,93238.41,90969.25,184207.66,106078.4,50072.130000000005,32431.18,-17641.17,94613.06,267937.11,452144.77,127044.24,69853.04,1,6,17.605771660092746,35.31166698035968,57.58631318589031,27.182436387281616,-17.705895320266936,2.4944253140484323,2024-07,True,first-sale proxy,23.0,1,2,2-1,21.63507250957917,Watch,between target and broken - no trigger fired,2026-06,DE:Watch|ES:Defend|FR:Watch|GB:Fix|IE:Watch|IT:Scale|NL:Fix,7,2,False
Vegavero,Amazon,CP-DQMG-RVN9,Igname Selvatico Vegavero® | 1000 mg di estratto di Mexican Wild Yam | con 20% di Diosgenina e Zinco | 120 capsule | No OGM | Vegan,actual,12,2026-06,17598.89,20318.07,37916.96,22899.19,10689.87,8379.66,-2310.25,13676.58,46016.6,83933.56,22056.24,11994.1,0,6,22.100031226132053,29.72097025855887,60.39300091568522,28.192845628974478,-7.6209390324268185,-13.383062466070845,2024-07,True,first-sale proxy,23.0,2,1,1-2,19.589448294103097,Watch,between target and broken - no trigger fired,2026-06,DE:Defend|ES:Watch|FR:Harvest|GB:No data|IE:Scale|IT:Watch|NL:Watch,7,0,False
Vegavero,Amazon,CW-KVIN-V39Y,Vegavero Pure D-Mannose Powder 250 g | 4 Months’ Supply | 2000 mg per Day | NO Additives | 100% Naturally Sourced | Urinary Tract Infection | Vegan,actual,12,2026-06,39111.64,43103.67,82215.31,59097.26,35974.44,32601.49,-3373.17,38395.36,85584.49,167799.8,70996.85,26047.41,0,6,39.65379440885159,44.862521234863934,71.88108881423668,43.75637578937548,-5.208726826012345,-9.26146195903968,2024-07,True,first-sale proxy,23.0,1,1,1-1,22.71227116884525,Defend,"top seller at target margin, momentum flat",2026-06,DE:Scale|ES:Scale|FR:Watch|GB:Defend|IE:Scale|IT:Defend|NL:Watch,7,0,False
Vegavero,Amazon,NX-CVPF-VCEZ,EXTRAIT de Reishi Vegavero® | 1950 mg (Extract 14:1) | 120 Gélules | 40% Polysaccharides + 20% Bêta-glucane | Immunité + Énergie | VEGAN,actual,12,2026-06,38740.76,41942.64,80683.4,39979.08,14477.55,7884.97,-6592.62,19152.55,101334.6,182018.0,27037.52,25271.28,3,6,9.772728962834982,18.900306509326526,49.550564304429415,17.9436538370966,-9.127577546491544,-7.633949603553799,2024-07,True,first-sale proxy,23.0,1,3,3-1,19.126079306538756,Fix,CM3% 9.8 vs target 19.1,2026-06,BE:Defend|DE:Fix|ES:Fix|FR:Fix|GB:Fix|IE:Scale|IT:Watch|NL:No data,8,4,False
Vegavero,Amazon,TU-QNYD-JRRX,"Vegavero Tribulus Terrestris 10,800 mg | High Strength Extract | 1620 mg Saponins per Serving | NO Additives, Lab-Tested | Stamina & Strength Support for Men & Women | 120 Capsules | Vegan",actual,12,2026-06,56313.840000000004,59802.82,116116.66,81233.88,39778.37,27753.39,-12025.0,48271.81,140170.57,256287.23,76025.2,38713.93,0,6,23.901298917829706,34.437906616203385,69.95885000481412,34.25724611782668,-10.536607698373679,-5.834139594086025,2024-07,True,first-sale proxy,23.0,1,1,1-1,21.414153936152026,Defend,"top seller at target margin, momentum flat",2026-06,DE:Watch|ES:Defend|FR:Defend|GB:Watch|IT:Defend|NL:Defend,6,0,False
Vegavero,Amazon,VI-ZU99-SZ0B,L-Triptófano 500mg Puro* Vegavero | El Único Sin Aditivos | Para 4 meses | Estrés + Insomnio + Cansancio | Alta dosificación | 120 Cápsulas,actual,12,2026-06,17909.239999999998,23909.46,41818.7,28304.21,13791.32,10474.63,-3316.69,17736.760000000002,56405.68,98224.38,28211.39,11990.699999999999,0,6,25.04771788697401,31.44498922803519,67.68314175237394,32.978834827481485,-6.397271341061181,-25.09558977910836,2024-07,True,first-sale proxy,23.0,2,1,1-2,19.761325373059112,Watch,between target and broken - no trigger fired,2026-06,DE:Watch|ES:Defend|FR:Watch|IE:Defend|IT:Watch,5,0,False
Vegavero,Amazon,VV-ALO-06,"MSM Vegavero® Poudre | 1 Kg Méthylsulfonylméthane Pur à 99,9% | Sans Additifs & VEGAN | Formation de Collagène | Testé en Laboratoire | Format Sachet ou Boîte",actual,12,2026-06,37224.61,42076.36,79300.97,45049.81,16554.07,8600.92,-7953.01,18453.9,110226.3,189527.27,27054.82,26510.94,1,6,10.845920295804705,16.74183021656356,56.80864937717659,20.87499055812306,-5.8959099207588554,-11.530821582475289,2024-07,True,first-sale proxy,23.0,1,3,3-1,21.77047086872964,Fix,CM3% 10.8 vs target 21.8,2026-06,BE:Watch|DE:Fix|ES:Harvest|FR:Fix|GB:Fix|IE:Fix|IT:Watch|NL:Fix,8,5,False
Vegavero,Amazon,VV-VITA-02,Cardo Mariano 35000 mg Vegavero | MAS ALTA DOSIS | Con 80% de Silimarina & 30% de Silibina | Liver Detox y Higado Graso | SIN ADITIVOS | Milk Thistle | Testado en Laboratorio | 120 Cápsulas,actual,12,2026-06,36730.35,17840.69,54571.04,35130.85,15192.18,11023.67,-4168.41,9071.51,33278.4,87849.44,20095.18,25594.059999999998,0,6,20.200586245012005,27.259453579499016,64.37636152801926,27.83927152570301,-7.058867334487012,105.87964927365479,2024-07,True,first-sale proxy,23.0,2,1,1-2,21.563997469818815,Watch,between target and broken - no trigger fired,2026-06,ES:Scale|FR:Fix|IE:Watch|IT:Scale,4,1,False
Vegavero,Amazon,VV-VITA-02-V,Chardon Marie Vegavero® | 365 Gélules | Avec 80% Silymarine + 30% Silybine | Sans Additifs | Dépuratif Foie Naturel + Digestion | VEGAN,actual,5,2025-11,,0.0,0.0,-31.73,-27.44,-27.44,0.0,5382.96,18846.16,18846.16,5355.5199999999995,,1,1,,28.562635571384305,,,,,2024-07,True,first-sale proxy,23.0,3,,,19.291942131235224,No data,no margin data for this market,2026-06,ES:No data|FR:No data|IT:No data,3,0,False
Vegavero,Amazon,VV-VITA-101,Vegavero Premium Rhodiola Rosea 1200 mg | 3% Rosavins & 1% Salidroside | 120 Capsules | Herbal Adaptogenic Supplement | Rhodiolife® | NO Additives | Vegan,actual,12,2026-06,177392.55,139227.0,316619.55,178064.33,76643.23,41001.13,-35642.159999999996,63642.71,248262.27,564881.82,104643.84,117991.36,1,6,12.949652035068585,25.635272729923887,56.23920885491752,24.206726969323277,-12.685620694855302,27.412463099829765,2024-07,True,first-sale proxy,23.0,1,2,2-1,21.428876026159138,Fix,CM3% 12.9 vs target 21.4,2026-06,BE:No data|DE:Scale|ES:Watch|FR:Fix|GB:Fix|IE:Fix|IT:Watch|NL:Fix,8,4,False
Vegavero,Amazon,VV-VITA-102,Ginkgo Biloba | Extra Fort : 6000mg | Mémoire + Circulation Sanguine | 180 Gélules | Unique : 24% Glycosides de Flavone + 6% Lactones Terpéniques | Vegan & Sans Additifs | Vegavero®,actual,12,2026-06,28718.23,26667.14,55385.37,32802.93,13305.7,8136.64,-5169.24,13314.19,56171.42,111556.79,21450.83,19228.3,2,6,14.690955391288348,23.702783372754332,59.22670553613707,24.02385323055529,-9.011827981465984,7.6914509767451635,2024-07,True,first-sale proxy,23.0,2,2,2-2,21.521038562780447,Fix,CM3% 14.7 vs target 21.5,2026-06,DE:Watch|ES:Fix|FR:Fix|GB:Fix|IT:Scale|NL:Watch,6,3,False
