month,account,product_item_id,spend
"2025-10","Vegavero DE","53059608871243",0.74
"2025-10","Vegavero DE","53059544547659",4.17
"2025-10","Vegavero DE","53059646587211",0.7689
"2025-10","Vegavero DE","53059604840779",1.0716
"2025-10","Vegavero DE","53059634364747",0.79
"2025-10","Vegavero DE","53059632136523",1.7543
"2025-10","Vegavero DE","53059609723211",4.75
"2025-10","Vegavero DE","53059591274827",1.91
"2025-10","Vegavero DE","53059557294411",0.8
"2025-10","Vegavero DE","53059547169099",6.5
"2025-10","Vegavero DE","53059633774923",1.9675
"2025-10","Vegavero DE","53059594781003",13.75
"2025-10","Vegavero DE","53059597205835",20.92
"2025-10","Vegavero DE","53059552608587",0.55
"2025-10","Vegavero DE","53059633250635",2.77
"2025-10","Vegavero DE","53059483566411",3.93
"2025-10","Vegavero DE","53059617194315",1.56
"2025-10","Vegavero DE","53059627909451",3.96
"2025-10","Vegavero DE","53059620864331",1.62
"2025-10","Vegavero DE","53059587932491",5.23
"2025-10","Vegavero DE","53059551232331",4.3316
"2025-10","Vegavero DE","53059626369355",1.93
"2025-10","Vegavero DE","53059595960651",0.6996
"2025-10","Vegavero DE","53059648192843",3.0978
"2025-10","Vegavero DE","53059622404427",2.5405
"2025-10","Vegavero DE","53204562739531",17.69
"2025-10","Vegavero DE","53204690927947",0.69
"2025-10","Vegavero DE","53059652616523",4.9494
"2025-10","Vegavero DE","53059647766859",3.948
"2025-10","Vegavero DE","53059569254731",1.6372
"2025-10","Vegavero DE","53059572990283",2.46
"2025-10","Vegavero DE","53059622928715",1.0544
"2025-10","Vegavero DE","53059594191179",1.54
"2025-10","Vegavero DE","53059654025547",2.5323
"2025-10","Vegavero DE","53059611984203",0.38
"2025-10","Vegavero DE","53059645473099",1.2053
"2025-10","Vegavero DE","53059613196619",1.5678
"2025-10","Vegavero DE","53059650847051",6.9324
"2025-10","Vegavero DE","53059630137675",1.5904
"2025-10","Vegavero DE","53059461579083",4.9
"2025-10","Vegavero DE","53059650191691",0.5199
"2025-10","Vegavero DE","53059618210123",0.5892
"2025-10","Vegavero DE","53059630760267",0.7494
"2025-10","Vegavero DE","53059588882763",2.0851
"2025-10","Vegavero DE","53059586916683",6.6661
"2025-10","Vegavero DE","53059554640203",1.2441
"2025-10","Vegavero DE","53059605299531",13.7851
"2025-10","Vegavero DE","53059598877003",6.72
"2025-10","Vegavero DE","53059583770955",0.4314
"2025-10","Vegavero DE","53059608281419",4.29
"2025-10","Vegavero DE","53059620274507",1.5038
"2025-10","Vegavero DE","53059574858059",0.1424
"2025-10","Vegavero DE","53059582624075",2.09
"2025-10","Vegavero DE","53059601334603",3.5633
"2025-10","Vegavero DE","53059562176843",1.2876
"2025-10","Vegavero DE","53059652059467",0.1597
"2025-10","Vegavero DE","53059576889675",0.971
"2025-10","Vegavero DE","53059621454155",0.9901
"2025-10","Vegavero DE","53059476422987",0.331
"2025-10","Vegavero DE","53204597014859",8.23
"2025-10","Vegavero DE","53059644490059",1.8456
"2025-10","Vegavero DE","53059642163531",1.5663
"2025-10","Vegavero DE","53059543630155",1.38
"2025-10","Vegavero DE","53059547988299",1.4262
"2025-10","Vegavero DE","53059565388107",1.4135
"2025-10","Vegavero DE","53059595239755",0.6548
"2025-10","Vegavero DE","53059567616331",0.9305
"2025-10","Vegavero DE","53059540746571",3.81
"2025-10","Vegavero DE","53059478126923",1.32
"2025-10","Vegavero DE","53059645833547",2.5036
"2025-10","Vegavero DE","53059549561163",1.7061
"2025-10","Vegavero DE","53059641639243",1.1598
"2025-10","Vegavero DE","53059480191307",0.2395
"2025-10","Vegavero DE","53059644916043",0.6566
